,state_id,Title,Total,Partial vaccinated,Fully Vaccinated,Date
0,1,Andaman and Nicobar Islands,9634,7260,2374,2021-03-08 18:00:53
1,2,Andhra Pradesh,693146,496820,196326,2021-03-08 18:00:53
2,3,Arunachal Pradesh,39569,29075,10494,2021-03-08 18:00:53
3,4,Assam,391651,330428,61223,2021-03-08 18:00:53
4,5,Bihar,783296,572556,210740,2021-03-08 18:00:53
5,6,Chandigarh,30339,26736,3603,2021-03-08 18:00:53
6,7,Chhattisgarh,561149,427770,133379,2021-03-08 18:00:53
7,8,Dadra and Nagar Haveli,6868,5746,1122,2021-03-08 18:00:53
8,9,Delhi,458286,382337,75949,2021-03-08 18:00:53
9,10,Goa,40444,33101,7343,2021-03-08 18:00:53
10,11,Gujarat,1553759,1188707,365052,2021-03-08 18:00:53
11,12,Haryana,288813,209569,79244,2021-03-08 18:00:53
12,13,Himachal Pradesh,130274,82240,48034,2021-03-08 18:00:53
13,14,Jammu and Kashmir,307649,277230,30419,2021-03-08 18:00:53
14,15,Jharkhand,375657,301736,73921,2021-03-08 18:00:53
15,16,Karnataka,739467,475569,263898,2021-03-08 18:00:53
16,17,Kerala,843983,635264,208719,2021-03-08 18:00:53
17,18,Ladakh,17089,14869,2220,2021-03-08 18:00:53
18,19,Lakshadweep,1533,1345,188,2021-03-08 18:00:53
19,20,Madhya Pradesh,888379,643840,244539,2021-03-08 18:00:53
20,21,Maharashtra,1452422,1168837,283585,2021-03-08 18:00:53
21,22,Manipur,64515,58800,5715,2021-03-08 18:00:53
22,23,Meghalaya,49642,43403,6239,2021-03-08 18:00:53
23,24,Mizoram,35391,26151,9240,2021-03-08 18:00:53
24,25,Nagaland,33606,27726,5880,2021-03-08 18:00:53
25,26,Odisha,643043,451892,191151,2021-03-08 18:00:53
26,27,Puducherry,16588,14136,2452,2021-03-08 18:00:53
27,28,Punjab,227955,178695,49260,2021-03-08 18:00:53
28,29,Rajasthan,1885161,1549564,335597,2021-03-08 18:00:53
29,30,Sikkim,27414,22226,5188,2021-03-08 18:00:53
30,31,Tamil Nadu,653666,579892,73774,2021-03-08 18:00:53
31,32,Telangana,394485,223609,170876,2021-03-08 18:00:53
32,33,Tripura,114962,82583,32379,2021-03-08 18:00:53
33,34,Uttar Pradesh,1623092,1086600,536492,2021-03-08 18:00:53
34,35,Uttarakhand,208722,147239,61483,2021-03-08 18:00:53
35,36,West Bengal,1418378,1159202,259176,2021-03-08 18:00:53
36,37,Daman and Diu,5065,4182,883,2021-03-08 18:00:53
37,1,Andaman and Nicobar Islands,9932,7542,2390,2021-03-09 18:01:28
38,2,Andhra Pradesh,738119,528266,209853,2021-03-09 18:01:28
39,3,Arunachal Pradesh,41504,30634,10870,2021-03-09 18:01:28
40,4,Assam,422721,354343,68378,2021-03-09 18:01:28
41,5,Bihar,882429,649652,232777,2021-03-09 18:01:28
42,6,Chandigarh,32656,28543,4113,2021-03-09 18:01:28
